transaction_id,employee_id,punch_datetime,device_no,status,mandt,P_Day,ISManual,data_flag,record_datetime
9992268,13000757,2023-12-08T19:02:10,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992269,13000023,2023-12-08T19:14:39,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992270,13000758,2023-12-08T19:19:21,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992271,13000764,2023-12-08T19:19:56,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992272,13000735,2023-12-08T19:27:08,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992273,13000760,2023-12-08T19:29:14,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992274,13000751,2023-12-08T19:50:07,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992275,13000583,2023-12-08T20:03:47,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992276,13991375,2023-12-08T20:04:23,43,01,300,N,N,API,2023-12-15 11:36:57.819639
9992277,13000748,2023-12-08T20:09:43,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992278,13991461,2023-12-08T20:10:16,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992279,13991430,2023-12-08T20:16:06,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992280,13991446,2023-12-08T20:17:45,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992281,13991447,2023-12-08T20:18:01,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992282,13000427,2023-12-08T20:21:04,45,01,300,N,N,API,2023-12-15 11:36:57.819639
9992283,13000672,2023-12-08T20:29:12,27,01,300,N,N,API,2023-12-15 11:36:57.819639
9992284,13000763,2023-12-08T20:32:06,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992285,13991462,2023-12-08T20:40:06,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992286,13991463,2023-12-08T20:41:29,46,01,300,N,N,API,2023-12-15 11:36:57.819639
9992287,13000075,2023-12-08T21:19:12,43,01,300,N,N,API,2023-12-15 11:36:57.819639
